old_code,old_name,new_code,new_name,change_year
,Caradon,E06000052,Cornwall,2009
,Carrick,E06000052,Cornwall,2009
,Kerrier,E06000052,Cornwall,2009
,North Cornwall,E06000052,Cornwall,2009
,Penwith,E06000052,Cornwall,2009
,Restormel,E06000052,Cornwall,2009
,Chester-le-Street,E06000047,County Durham,2009
,Derwentside,E06000047,County Durham,2009
,Durham,E06000047,County Durham,2009
,Durham City,E06000047,County Durham,2009
,Easington,E06000047,County Durham,2009
,Sedgefield,E06000047,County Durham,2009
,Teesdale,E06000047,County Durham,2009
,Wear Valley,E06000047,County Durham,2009
,Alnwick,E06000057,Northumberland,2009
,Berwick-upon-Tweed,E06000057,Northumberland,2009
,Blyth Valley,E06000057,Northumberland,2009
,Castle Morpeth,E06000057,Northumberland,2009
,Tynedale,E06000057,Northumberland,2009
,Wansbeck,E06000057,Northumberland,2009
E06000048,Northumberland,E06000057,Northumberland,2011
,Bridgnorth,E06000051,Shropshire,2009
,North Shropshire,E06000051,Shropshire,2009
,Oswestry,E06000051,Shropshire,2009
,Shrewsbury and Atcham,E06000051,Shropshire,2009
,South Shropshire,E06000051,Shropshire,2009
,Kennet,E06000054,Wiltshire,2009
,North Wiltshire,E06000054,Wiltshire,2009
,Salisbury,E06000054,Wiltshire,2009
,West Wiltshire,E06000054,Wiltshire,2009
,Congleton,E06000049,Cheshire East,2009
,Crewe and Nantwich,E06000049,Cheshire East,2009
,Macclesfield,E06000049,Cheshire East,2009
,Chester,E06000050,Cheshire West and Chester,2009
,Ellesmere Port and Neston,E06000050,Cheshire West and Chester,2009
,Vale Royal,E06000050,Cheshire West and Chester,2009
,Mid Bedfordshire,E06000056,Central Bedfordshire,2009
,South Bedfordshire,E06000056,Central Bedfordshire,2009
E07000100,St Albans,E07000240,St Albans,2013
E07000101,Stevenage,E07000243,Stevenage,2013
E07000104,Welwyn Hatfield,E07000241,Welwyn Hatfield,2013
E07000097,East Hertfordshire,E07000242,East Hertfordshire,2013
E08000020,Gateshead,E08000037,Gateshead,2013
E06000028,Bournemouth,E06000058,"Bournemouth, Christchurch and Poole",2019
E07000048,Christchurch,E06000058,"Bournemouth, Christchurch and Poole",2019
E06000029,Poole,E06000058,"Bournemouth, Christchurch and Poole",2019
E07000049,East Dorset,E06000059,Dorset,2019
E07000050,North Dorset,E06000059,Dorset,2019
E07000051,Purbeck,E06000059,Dorset,2019
E07000052,West Dorset,E06000059,Dorset,2019
E07000053,Weymouth and Portland,E06000059,Dorset,2019
E07000205,Suffolk Coastal,E07000244,East Suffolk,2019
E07000206,Waveney,E07000244,East Suffolk,2019
E07000201,Forest Heath,E07000245,West Suffolk,2019
E07000204,St Edmundsbury,E07000245,West Suffolk,2019
E07000190,Taunton Deane,E07000246,Somerset West and Taunton,2019
E07000191,West Somerset,E07000246,Somerset West and Taunton,2019
E07000004,Aylesbury Vale,E06000060,Buckinghamshire,2020
E07000005,Chiltern,E06000060,Buckinghamshire,2020
E07000006,South Bucks,E06000060,Buckinghamshire,2020
E07000007,Wycombe,E06000060,Buckinghamshire,2020
E07000150,Corby,E06000061,North Northamptonshire,2021
E07000152,East Northamptonshire,E06000061,North Northamptonshire,2021
E07000153,Kettering,E06000061,North Northamptonshire,2021
E07000156,Wellingborough,E06000061,North Northamptonshire,2021
E07000151,Daventry,E06000062,West Northamptonshire,2021
E07000154,Northampton,E06000062,West Northamptonshire,2021
E07000155,South Northamptonshire,E06000062,West Northamptonshire,2021
E07000026,Allerdale,E06000063,Cumberland,2023
E07000028,Carlisle,E06000063,Cumberland,2023
E07000029,Copeland,E06000063,Cumberland,2023
E07000027,Barrow-in-Furness,E06000064,Westmorland and Furness,2023
E07000030,Eden,E06000064,Westmorland and Furness,2023
E07000031,South Lakeland,E06000064,Westmorland and Furness,2023
E07000163,Craven,E06000065,North Yorkshire,2023
E07000164,Hambleton,E06000065,North Yorkshire,2023
E07000165,Harrogate,E06000065,North Yorkshire,2023
E07000166,Richmondshire,E06000065,North Yorkshire,2023
E07000167,Ryedale,E06000065,North Yorkshire,2023
E07000168,Scarborough,E06000065,North Yorkshire,2023
E07000169,Selby,E06000065,North Yorkshire,2023
E07000187,Mendip,E06000066,Somerset,2023
E07000188,Sedgemoor,E06000066,Somerset,2023
E07000189,South Somerset,E06000066,Somerset,2023
E07000246,Somerset West and Taunton,E06000066,Somerset,2023
